ord,id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta,subrama
7,4079907,ABARROTES OXXITO,,311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate",0 a 5 personas,CALLE,21 DE MARZO,CALLE,23 DE ENERO,CALLE,NINGUNO,AVENIDA,16 DE SEPTIEMBRE,128,,,NA,NA,,COLONIA,BENITO JUAREZ,,,,87090,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,897,36,,,,Fijo,23.73725528,-99.12780562,2014-12,31134
50,6457390,CAFE DOS ESTRELLAS,CAFÉ DOS ESTRELLAS ,311922,Elaboración de café tostado y molido,0 a 5 personas,CALLE,SIERRA DE CASAS,CALLE,JOSE MARIA PINO SUAREZ,CALLE,DOCTOR NORBERTO TREVIÑO ZAPATA (16),CALLE,SIERRA GORDA,129,B,,NA,NA,,FRACCIONAMIENTO,VILLAREAL,,,,87027,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,670,36,,,,Fijo,23.7656493,-99.1481104,2014-12,31192
84,4123937,CHORIZO MATA,,311613,"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles",0 a 5 personas,CALLE,HERNAN CORTES,CALLE,REPUBLICA DE PANAMA,CALLE,REPUBLICA SANTO DOMINGO,CALLE,SIMÓN BOLÍVAR,1123,,,NA,NA,,COLONIA,PEDRO SOSA,,,,87120,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1151,24,8342117179,,,Fijo,23.72006466,-99.13505852,2010-07,31161
88,9334223,CITRICOS BEBIDAS Y DERIVADOS DE VICTORIA,CITRICOS BEBIDAS Y DERIVADOS DE VICTORIA SC,311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas",0 a 5 personas,CALLE,IGNACIO MEJÍA,CALLE,BRÍGIDA GARCÍA,CALLE,23 DE ENERO,CALLE,IGNACIO MEJÍA,0,SN,,NA,0,SN,COLONIA,BENITO JUAREZ,,,,NA,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,090A,1,,,,Fijo,23.74027548,-99.12411979,2021-05,31193
318,9354357,LA GRANJA DE SAN ANDRES,LA GRANGRA DE SAN ANDRES ,311412,Congelación de guisos y otros alimentos preparados,6 a 10 personas,BOULEVARD,TAMAULIPAS,CALLE,ZACATECAS,OTRO (ESPECIFIQUE),MANZANA O EDIFICACION CONTIGUA,PRIVADA,CALLE 7,3252,,,NA,0,,FRACCIONAMIENTO,LAS HUERTAS,,,A,87025,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,469,18,8341127260,,,Fijo,23.75583254,-99.14098097,2021-05,31141
369,9367007,MARISCOS EL GRANMA,,311710,Preparación y envasado de pescados y mariscos,0 a 5 personas,CALLE,CALLE DEL VALLE,BOULEVARD,TAMAULIPAS,CALLE,NINGUNO,CALLE,CALLE DEL VALLE,1126,,,1,NA,,FRACCIONAMIENTO,RECDENCIAS CABAÑAS,OTRO CONGLOMERADO,NO ES CONGLOMERADO,0,87025,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,469,34,,,,Fijo,23.76112853,-99.13752931,2021-05,31171
517,7933681,MOLINO LA CARRETA,,311830,Elaboración de tortillas de maíz y molienda de nixtamal,0 a 5 personas,CALLE,LICENCIADO ZEFERINO FAJARDO LUNA,CALLE,CIUDAD MADERO,CALLE,TAMPICO,CALLE,IGNACIO ZARAGOZA,0,SN,,NA,0,,COLONIA,ENRIQUE CARDENAS,,,,87010,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,488,25,8341476526,,,Fijo,23.76045887,-99.16612547,2019-11,31183
621,9344803,MONTONERAS DONAS,,311910,Elaboración de botanas,0 a 5 personas,BOULEVARD,TAMAULIPAS,CALLE,RAFAEL BALANDRANO,CALLE,ARTURO OLIVARES,CALLE,ARTURO OLIVARES,3262,,,1,NA,,FRACCIONAMIENTO,CAMPESTRE,OTRO CONGLOMERADO,NO ES CONGLOMERADO,0,NA,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,469,5,,,,Fijo,23.76321942,-99.13988123,2021-05,31191
665,4111056,PALETERIA SANTA MONICA,,311520,Elaboración de helados y paletas,6 a 10 personas,CALLE,COAHUILA,CALLE,COAHUILA,CALLE,JOSE MA PINO SUAREZ,PRIVADA,NINGUNO,0,SN,,NA,0,,COLONIA,PERIODISTA,,,,87040,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,736,30,,,,Fijo,23.74872024,-99.15154308,2010-07,31152
702,8929052,PANADERIA,,311812,Panificación tradicional,0 a 5 personas,CALLE,REFORMA,CALLE,FRANCISCO I. MADERO,CALLE,JOSE MARIA PINO SUAREZ,CALLE,CONSTITUCIÓN,236,,,NA,0,,COLONIA,LAS PALMAS,,,,87140,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1096,20,8341609950,,,Fijo,23.72044909,-99.15345284,2019-11,31181
711,4082606,PANADERIA,,311812,Panificación tradicional,0 a 5 personas,CALLE,ALCATRAZ,CALLE,LICENCIADO BENITO JUAREZ,CALLE,MELCHOR OCAMPO,CALLE,AZUCENA,0,SN,,NA,0,,COLONIA,AMERICA DE JUAREZ,,,,87078,28,TAMAULIPAS,41,Victoria,1,Ciudad Victoria,1950,2,,,,Fijo,23.72870504,-99.17233576,2014-12,31181
